"#AGTG Extremely happy and blessed to say that I have received an offer from The University of Kansas !!
@CoachWallaceKU
 @Glap_IV
@KUWBball
 assistant Terry Nooner is officially Wichita State WBB's new leader! He's also a former #KUbball player. Here's what he learned from Roy Williams about being a head coach:

: 
@sullyengels" "Apr 20"
"#OnMJNow > This Forgotten Town - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/5qx9" "Apr 20"
"Jayhawks cap off the weekend winning their third straight game over Plymouth United.

Finney 24 & Meelia 17 lead the way. 

Jayhawks played hard all weekend and finish third 
@MPCourts
 tournament.

Very proud of this team. #JHCulture" "Apr 23"
"𝐌𝐨𝐰 ’𝐞𝐦 𝐝𝐨𝐰𝐧, 𝐊𝐢𝐝

The freshman righty was  against the Jayhawks

#OurStandard #GoPokes | 
@gabedavis07" "Apr 22"
"FBI trial determined that Adidas was the problem and Preston never played a game for KU. Not too worried about this. #KUbball" "Apr 20"
"A big thanks to Kansas head coach Lance Leipold 
@CoachLeipold
 for taking an hour to go over his 
@KU_Football
 team with me today! 
@DSBerk
 @Andy25eisch
  #RockChalk" "Apr 20"
"Two KU mailbags  on 
@RCST1320
 this week!

Send in your questions about #kubball, #kufball, other KU sports, life, food, or whatever’s on your mind" "Apr 18"
"I am happy to share that I have recently completed two month training clerkship at The University of Kansas Health System in the department of Urology and Cardiology. 

Last couple months went by so fast. It was an amazing experience overall. The KUMC com…" 12h
"Little life update: I’m moving again. This time I’m heading to the Midwest to accept a position in student affairs at the University of Kansas. I’ll be leaving towards the end of May! Excited to see what life has in store for me!!" "Apr 24"
"@PrestonEdmead
 is one of the best lead guards in the 2025 class. #nyjayhawks #3SSB" "Apr 21"
"I’m tired of people riding 4-wheelers and dirt bikes on the roads. These stupid kids are riding wheelies down main streets. I’m afraid one of them is going to lay the bike down in front of of me. I’m driving a bus; I don’t want to kill anyone. #OPLive" "Apr 22"
"Max will attend the University of Kansas in the fall" 5h
"The commitment of Nick Timberlake is also big in lieu of Hunter Dickinson's visit to Kansas, which is set to begin tomorrow. #KUbball" "Apr 19"
"Kansas drops an offer at Pearland Shadow Creek for '25 DE/LB Anthony Williams (
@A2Williams22
). #RockChalk

https://247sports.com/player/anthony-williams-46137743/…
https://hudl.com/profile/15472387/Anthony-Deuce-Williams…" 5h
"KANSAS HOOPS HEARINGS

Former five-star Texas PG Arterio Morris is expected to visit Kansas on Tuesday this week. #KUbball" "Apr 17"
"FINAL: #OkState 8, Kansas 3

The Cowboys (28-13, 11-7) earn their first series sweep over the Jayhawks in Lawrence under Josh Holliday.

Suddenly, OSU has won five consecutive contests, scoring a double-digit run total in four. 

The Cowboys get Wichita State at home Tuesday." "Apr 23"
"NEW EPISODE ALERT

#kubballTransfer Update:

- Who are Bill Self's Tops
- G Nicolas Timberlake completes visit
- Dickinson/IngramLawrence this week
- Kevin McCullar coming back?

Don't forget to Subscribe 

https://youtu.be/xIwzu2CrJHg" "Apr 17"
"#AprilAcrossAmerica

24. Kansas

'Come to Wichita
Won't be there in 40 days
This, an evil land
Brings a devil's cloud'

The Jayhawks - Wichita (1992)" "Apr 23"
"Kansas transfer MJ Rice has committed to NC State, per his IG." "Apr 19"
"Harrison Ingram commits to UNC #kubball" "Apr 22"
"On the Hill: Photographic History University of Kansas, 2nd Edition Revised Roy Gridley https://tuppu.net/2908ae1b #ShopSmall #OldBookshop #Collectibles #VintageBooks #GoodOldBooks #BookwormGifts #EtsyVintage #PhotographicHistory" "Apr 17"
"Chris Hege and Hunter Lay play a little long ball here in the 2nd to give the Stars an early lead on the Jayhawks. 9-0 in the bottom of the 2nd!" "Apr 18"
"Former Five-Star small forward/Stanford Cardinal Harrison Ingram has moved his visit to Kansas to April 27 due to his class schedule. #kubball" "Apr 17"
"Ever wonder what happens on road trips? 

Here's a sneak peak at our new behind-the-scenes series ""Jayhawk Life"" premiering tomorrow!

#RockChalk | 
@DempseysPub" "Apr 24"
"#OnMJNow > This Forgotten Town - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/5qx9" "Apr 22"
"Strong day for the Hawks! 1 more to play tomorrow!

 | https://bit.ly/40yFYPz

#RockChalk" 4h
"April 18, 2023 edition of The Pulse:

2:02 - Welp, #Royals
2:25 - 
@mattderrick
 is back to talk #Chiefs! 
2:45 - Big night for WSU
3:02 - 
@tayloreldridge
 
3:25 - #kubball's Bill Self from Hutch
3:45 - Take Two 
@JohnyJ_15
 

@ESPNWichita" "Apr 18"
"St. James showing some Earth love." "Apr 21"
"Towson’s Timberlake goes from unranked high school player to Jayhawks’ portal addition
https://kansascity.com/sports/college/big-12/university-of-kansas/article274519171.html… ⁦
@KUHoops
⁩ ⁦
@UnivOfKansas
⁩ ⁦
@kualumni
⁩ ⁦
@CoachBillSelf
⁩ ⁦
@NickJTimberlake
⁩ ⁦
@GaryBedore
⁩ #kubball #Kansas #KU #RockChalk #recruiting" "Apr 20"
"NEW Rock Chalk Unplugged w/ Dajuan Harris Jr. is LIVE 

Mitch and Chris talk with Dajuan about his rise at KU, growing up with 
@Ballin25Braun
, and much more

Check it out here  https://youtube.com/watch?v=BMqC-G2Qoko…

#kubball #Kansas #collegebasketball" "Apr 19"
"Ethan Rangolan 
6’2, lock down perimeter defender with 6’8 wing span, plays D with a nasty streak, throws his body all over for loose balls. Super high motor, and a slasher. CULTURE CREATOR! Ultimate glue guy! #Coachable #BooWilliamsLegacyClassic 
@BigShotsGlobal
 @BigShotsToday" "Apr 15"
"Sunday finale

 vs. K-State
 1 p.m. CT
 Hoglund Ballpark
 http://bit.ly/KUBase23Tix

#RockChalk" "Apr 16"
"CHAMPS IN THE HOUSE 

Congratulations 
@KUWBball
 on bringing the WNIT title home  

#RockChalk x #KCBABY" "Apr 23"
"Greatest female singer ever #IMHO Check out 24h Metal 4U's video! #TikTok" "Apr 22"
"After a five-game losing streak, the Cowboys are now winners of five straight. They scored 37 runs this week against Kansas." "Apr 23"
"Jared...that is not so.  KU fans do not complain about everything.  They defend their team, their record, and history.   It is a known fact that most other teams have the Jayhawks on their radar.  We always have a bullseye on our backs, but that's ok  
#RCKH" 14s
"Way to play, Chase!!" "Apr 16"
"#OnMJNow > Quiet Corners & Empty Spaces - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/5zia" "Apr 17"
"Jayhawks showing out in the men’s steeplechase 

Christopher Stone & Treyson True’s times were both good for new personal bests " "Apr 21"
"Check out alssolo13's video! #TikTok" "Apr 21"
"LOCKED ON JAYHAWKS:

Deep dive into Primo Spears

- Where things are at
- Scouting Report
- How would he fit at #kubball

iTunes: https://podcasts.apple.com/us/podcast/locked-on-jayhawks-daily-podcast-on-kansas-jayhawks/id1482355317… 

Spotify: https://open.spotify.com/show/0GCNVlvD5bR55yARePhmGe… 

YouTube:" 1h
"#JayhawkNation if you didn’t know 6-2 2025 DB 
@Tyronsteed1
 out of 
@RitterPrep
 has officially been offered by 
@KU_Football
 #KUFootball of the #Big12 keep #Ballinout my guy" "Apr 18"
"Commitment Analysis: We take a closer look at Carson Bruhn's commitment and how the Jayhawks beat out KSU and Minnesota. 

LINK: https://kansas.forums.rivals.com/threads/commitment-breakdown-carson-bruhn-picks-ku.113917/… #kufball" "Apr 20"
"#AprilAcrossAmerica 
Tampa To Tulsa
The Jayhawks

""I know that you're running
But you don't know what from
Tampa to Tulsa, one layover

Please don't ask, take my love and make it last
Please don't ask, ease my worried mind
And take my hand""
https://youtu.be/tRuiZw6m_ko" "Apr 22"
"What a 5-hit, 9-RBI game looks like 

#RockChalk x 
@ChaseJans" "Apr 17"
"Nick Timberlake has committed to Kansas. The first domino has fallen #kubball" "Apr 19"
"Big shoutout to 
@KansasTennis
 Senior student manager Ben Stove, honored after today’s last home match. #EQFamily #thankyoustudentmanagers #studentmanagerlife #RockChalk" "Apr 16"
" '3 Styles of Coaching' (by University of Kansas, School of Education and Human Sciences) --> https://facebook.com/100000559591437/posts/5601934543168477/?mibextid=rS40aB7S9Ucbxw6v…  #Education #Coach #Coaching #Coaches2023" "Apr 17"
" SCHEDULE CHANGE 

Due to travel complications as Texas Tech was heading to Lawrence, the three-game series against the Kansas Jayhawks will now begin Saturday. 

Friday night's originally scheduled contest will be played at 1 p.m. Monday." "Apr 21"
"Nick Timberlake is a huge addition for Bill Self, Kansas #kubball" "Apr 19"
"Nick Timberlake just committed to Kansas and Hunter Dickinson set to begin his visit tomorrow #kubball" "Apr 19"
"Billy Preston, a former Kansas men’s basketball player, spoke out and alleged that the Jayhawks staff knew about payments made by Adidas to his mother" "Apr 20"
"Welcome Georgia Jayhawks to the ATLANTA HARDWOOD CLASSIC  (11th Grade Boys c/o 2024) on Apr 28-30, 2023 #exposurebball" "Apr 18"
"4/20 edition of The Pulse at 
@CBDAmericanSh
 in Derby!

2:02 - #kubball latest
2:25 - 
@MattVerderame
 
2:45 - Local product finds new home
3:02 - What's Happenin'
3:30 - 
@GoShockersWBB
's 
@terrynooner
 presser
3:45 - TQT 
@JohnyJ_15
 

@ESPNWichita" "Apr 20"
"With today's walk-off win Kansas softball has surpassed its win total from last season... with 8 regular season games left! Great step in the right direction for the Jayhawks!!!" "Apr 23"
"Introducing ""Jayhawk Life"" 

An All-Access look into the daily life of 
@KUBaseball
 during the season

#RockChalk | 
@DempseysPub" 10h
"The 
@KUHoops
 team is here! 
@gradey_dick
 stops to talk with 
@JeffBoschee
 and a few fans ahead of the Jayhawks appearance in John Lance Arena on the 2023 Barnstorming Tour! The two will also have a three-point shootout during the event. 
@GorillasMBB" "Apr 16"
"NY Jayhawks is LOADED with two top 100 kids, they will make a lot of noise on Adidas Circuit and it was a pleasure competing with them…

It’s time to start offering the BCRI kids, period. 

Full game film available" "Apr 17"
"My 2nd favorite band. Check out The Doors's video! #TikTok" "Apr 22"
"#OnMJNow > Quiet Corners & Empty Spaces - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/5zia" "Apr 21"
"What's next for #KUbball after the addition of Nick Timberlake? 

Let's break it down (VIP): https://247sports.com/college/kansas/board/103717/contents/whats-next-for-ku-hoops-after-the-addition-of-nick-timberlake-208644346/…" "Apr 19"
"Tuesday night at The Hog 

 vs. Air Force
 6 p.m. CT
 Hoglund Ballpark
 http://bit.ly/KUBase23Tix

#RockChalk" "Apr 18"
"Thanks to 
@KU_Football
 for coming by this morning to get up to speed on the NDNs!!! #RockChalk #TRIBE" 12h
"We had a fun little playtime at 
@O2SBE
 on Friday. Thanks to 
@the_jayhawks
 for having us open the stage" "Apr 16"
"A Chinese professor conducting sensitive research at the University of Kansas was indicted on charges he concealed his ties to a Chinese university 8-2019" "Apr 18"
"After a Pac-12 all-freshman first team season for USC, wing Tre White entered his name in the transfer portal and will look to build on his 9.1-point, 5.3-rebound campaign #GigEm #EveryDayGuys #GoPokes #GeauxTigers #RockChalk" "Apr 21"
"The boys are ready to bring home that 
Follow along live : https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=26021…
#RockChalk" "Apr 24"
"#KUbball assistant coach Kurtis Townsend is on the road evaluating. He watched a five-star target today. 

VIP:" "Apr 22"
"The first transfer for #kubball fills a huge area of need at a depleted position. Nicholas Timberlake brings experience, three-point shooting, and Justin Timberlake content to Lawrence. 
@kyledavis21
 with the quick story:" "Apr 19"
"Love my Jayhawks and my Raiders!! #proud" "Apr 18"
"The Kansas Jayhawks exist" "Apr 19"
"UP NEXT: Kansas plays game two against No. 24 Oklahoma State on Saturday afternoon at Hoglund Ballpark. First pitch is set for 2 p.m. CT.

#RockChalk" "Apr 21"
"WHOOP WHOOP  GAME ALERT  

Red Hawk Softball travel to take on the Jayhawks in a non-conference Smackdown 

:Muskegon CC
: 3 & 5
:https://m.youtube.com/@redhawkathletics/streams…

#TalonTough #nonconference #DatsDaSoundOfRedHawkNation" 8h
"William Duquette has a strong 36 holes as the Jayhawks finish rounds one and two today
#RockChalk" "Apr 24"
"Decision coming for 
@NickJTimberlake
, who recently visited UNC, Kansas, and UCONN. #kubball" "Apr 16"
"Best of RCST Podcast 4-25-23:
- Primo Spears visiting #kubball
- 
@mctait
- #RCSTtrivia (4 matchups)

Spotify: https://spoti.fi/444LBIg  

iTunes:" 3h
" Kansas Finishes Day 1 at Women's Golf Big 12 Championship - Kansas Jayhawks" "Apr 21"
"In a study by the University of Kansas, young people who have a savings account as a kid are are 2x as likely to continue to have an account later in life and maintain positive relationships with financial institutions! Head to http://kctcu.org/youthmonth to learn more! #CUYouthMonth" "Apr 18"
"Looking at the improvement in the Big 12 in offensive yards per play in 2022 over the 2021 season.  You can see where Lance Leipold got the Jayhawks rolling with a 1.4 yards per play improvement propelling them to their first bowl appearance since 2008!

#CFB #RockChalk #Big12" "Apr 18"
"#OnMJNow > Tailspin - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/61br" "Apr 23"
"The Jayhawks are ready to take on the Big 12 Championship at Prairie Dunes tomorrow" "Apr 23"
"Magic 17u UAA had a great weekend with 3 double digits wins over high quality teams: NY Jayhawks 3ssb, NY Lightning eybl and Crown hgsl! Great way to prepare for the Under Armour Association sessions the next two weekends! #MagicFamily" "Apr 17"
"#OnMJNow > Waiting for the Sun - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/6j9v" "Apr 20"
"One Night Only!
A Tribute to…
-Nick Lowe and Elvis Costello
-The Jayhawks
-The Decemberists

$5 Drafts
Best Hamburgers in Town

(If I were making a poster to advertise our planned open mic performance tonight…)" "Apr 19"
"#OnMJNow > Trouble - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/8y59" "Apr 18"
"#OnMJNow > Angelyne - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/6fbj" "Apr 22"
"With his final round 63 today, 
@gunnar_broin
 earned runner-up honors at the Hawkeye Invitational! 

#RockChalk" "Apr 15"
"Come and join the family 

#KUbball #ScoopsMafia" "Apr 18"
"On the Hill: Photographic History University of Kansas, 2nd Edition Revised Roy Gridley https://tuppu.net/2908ae1b #Collectibles #EtsyVintage #ShopSmall #GoodOldBooks #BookwormGifts #OldBookshop #VintageBooks #250Photographs" "Apr 17"
"April 22, 1984: Portland Trailblazers PG Darnell Valentine leads his team with 29 points, 10 assists and 2 steals during a 106-103 first-round playoff loss to the Phoenix Suns. The Wichita Heights HS and KU star played nine seasons in the NBA. 
@NBA_Jayhawks
 @WichitaUSD259" "Apr 22"
"'24 LB/S Zach Smith (
@zachsmith2024
) of Red Oak gets the call from Kansas. #RockChalk

https://247sports.com/Player/Zach-Smith-46138870/…
https://hudl.com/profile/13647684/ZACHARY-Smith…" "Apr 24"
"Why did Nicolas Timberlake commit to Kansas, and what does he think about teaming up with Dajuan Harris and KJ Adams? For the very latest, take the link below. #kubball

https://kansas.n.rivals.com/news/why-did-nicolas-timberlake-commit-to-kansas-…" "Apr 20"
"Stanford transfer Harrison Ingram will begin an official visit to North Carolina tonight.

He is then expected to take an official visit to Kansas next week. #KUbball" "Apr 19"
"I’m going to my first 
@nascar
 race in 2 weeks. I still don’t have a favorite driver. Whose shirt should I wear?" "Apr 23"
"Consider me a big fan of the Carson Bruhn addition, for several reasons. #KUfball

Let's break it all down (VIP):" "Apr 20"
"The Kansas Jayhawks find themselves in an ongoing FBI investigation. Tune in to hear the details " "Apr 21"
"Heike secures a point for the Jayhawks on court 4, 6-4, 6-3!!

Kansas 1, Iowa State 2" "Apr 21"
"The Post-Baccalaureate Research Education Program (PREP) at the University of Kansas in the Biomedical Sciences provides students with additional opportunities to prepare them for admission into competitive graduate programs.
Application Deadline: May 15
https://pathwaystoscience.org/programhub.aspx?sort=PBC-Ukansas-PREP…" "Apr 17"
"ODST scholars making headlines!" "Apr 17"
"Latest Hearings: https://kuhearings.com/p/hunter-dickinson-visit-recap-hearings-style… 

Open it in ur email if ya can to help me out! And send it to your KU friends when possible " "Apr 24"
"To celebrate service and #NationalVolunteerMonth, the University of Kansas Athletics held a clothing #donation drive for 
@Ballard_KS
! #thankyou to all the #Jayhawks, KU Athletes and Athletic Staff who made the drive a success! #RockChalk

Learn more at http://BALLARDCENTER.ORG!" "Apr 18"
"The highly touted MJ Rice did not live up to his expectations with Kansas basketball, but he will transfer to NC State with hopes of tapping into his potential. #KUbball

(via 
@Josh_Schulman04
)" "Apr 19"
"Nearly six years after his short-lived stint with Kansas basketball, Billy Preston threw the program’s coaching staff under the bus in an embarrassing attempt to reclaim his relevance. #KUbball

via 
@Josh_Schulman04
)" "Apr 21"
"Next on 
@RCST1320
, joined by 
@mctait
 to talk #kubball 

: FM 101.7 / AM 1320
: https://rdo.to/KLWNAM" 5h
"The Jayhawks got visits from two of the defensive players in their respective states in Michael Boganowski and Wyatt Gilmore. #kufball" "Apr 23"
"Per 
@mctait
 Representatives of the University of Kansas Men's Basketball program and KU Athletics last week participated in a long-awaited hearing with the NCAA Independent Accountability Resolutions Process regarding the NCAA’s infractions case against KU" "Apr 20"
"Kansas transfer MJ Rice (
@MJrice_1
) has picked up a prediction for 
@PackMensBball
 via 
@On3sports
. Former five-star recruit played a limited role as a freshman for the Jayhawks." "Apr 17"
".
@marcusadams21
 has signed with Kansas #kubball" "Apr 17"
"A 3-0 shutout led the Texas Tech softball team to a series loss against the Kansas Jayhawks Monday afternoon. The Red Raiders will return to Lubbock on Friday for their final regular-season Big 12 series against Oklahoma State. 
@AndrewFallonDT" "Apr 24"
".
@NickJTimberlake
 on playing with 
@DajuanH10
and 
@kj_atx
 #kubball 

""And, I mean, who wouldn’t want to play with arguably the best PG in the country in Dajuan (Harris) and then just a beast of a forward in KJ (Adams). So, I was very excited about both of them.”" "Apr 20"
"#OnMJNow > This Forgotten Town - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/5qx9" "Apr 17"
"Jayhawks’ late rally in game two falls short against Butler County CC 

Full Recap " "Apr 16"
"'24 OL Samir Camacho (
@dksamirc
) of Cypress Falls has his second offer on Tuesday from Kansas. #RockChalk

https://247sports.com/player/samir-camacho-46139638/…
https://hudl.com/profile/14877567/Samir-Camacho…" 6h
"Best of RCST Podcast 4-24-23:
- #kubball weekend update
- 
@DBLesky
- Case of the Mondays
- #RCSTtrivia
- Stupid Scale

Google Play: http://bit.ly/rcstgoogle  

Stitcher:  http://bit.ly/rcststitcher  

Spotify: http://bit.ly/rcstspotify 

iTunes:" "Apr 24"
"The http://JayhawkSlant.com Transfer Portal Visit Tracker is now live. For the very latest, click the link below. #kubball

https://kansas.n.rivals.com/news/jayhawkslant-com-transfer-portal-visit-tracker…" "Apr 17"
"An armored dinosaur that roamed Kansas’ woodlands millions of years ago was recently named as the state’s official land fossil. You can learn more about the Cretaceous period’s Silvisaurus condrayi in a display at KU’s Natural History Museum." "Apr 18"
"KU Medical Center’s new $4 million cryo-EM (short for cryogenics electron microscope) imaging technology is expected to help researchers explore the causes of diseases at the molecular level — and design drugs and therapies to treat them." 5h
"Kansas Jayhawks land transfer commitment from Towson’s Nick Timberlake #KUbball" "Apr 19"
"College basketball is as hectic as ever with the transfer portal and players entering the NBA Draft. These are some essential dates Kansas basketball fans must remember. #KUbball

(via 
@Josh_Schulman04
)" 8h
"Child writes heartfelt letter to Bill Self following health scare and gets response: https://kake.com/story/48758851/child-writes-heartfelt-letter-to-bill-self-following-health-scare-and-gets-response?utm_medium=social&utm_source=twitter_KAKEnews… #KAKEnews #RCJH #KUmbb #Jayhawks " "Apr 20"
"Have questions about getting your I-20 and visa to study at the University of Kansas?
Register for this webinar on April 26th to hear from one of our Immigration Advisors on steps to get your I-20 and Visa.
http://bit.ly/410FC5h" "Apr 17"
"Kansas made its first off-season acquisition of the year, and it was a big one. They beat out UConn in the recruitment of Nick Timberlake. #KUbball

(via 
@chalkyfalky
)" "Apr 19"
"It was a successful bounce-back series for 
@KUBaseball
, as they swept both games against the Air Force Falcons this week." "Apr 20"
"Kate Wienke, a KU junior studying physics, has received a prestigious Goldwater Scholarship. The scholarship was created to support sophomores and juniors in the U.S. planning to become researchers in the natural sciences, engineering, and math." "Apr 20"
"KU researcher leading project to quantify care economy, make stats available in central location | The University of Kansas" "Apr 21"
"Monday Transfer Portal Update: For the latest on Primo Spears, Harrison Ingram, and Nick Timberlake, click on the link below. #kubball

https://kansas.forums.rivals.com/threads/monday-transfer-portal-update-and-more.113856/…" "Apr 17"
"Once a Jayhawk, Always a Jayhawk

Thank you 
@terrynooner
 for what you have given to the Crimson & Blue. 

Congratulations to you, and best of luck as the head coach at Wichita State!

#RockChalk" "Apr 17"
"LOCKED ON JAYHAWKS:

Deep dive into Harrison Ingram
- Monday visit
- Scouting report
- How would he fit with #kubball

iTunes: https://podcasts.apple.com/us/podcast/locked-on-jayhawks-daily-podcast-on-kansas-jayhawks/id1482355317… 

Spotify: https://open.spotify.com/show/0GCNVlvD5bR55yARePhmGe… 

YouTube:" "Apr 17"
"There hasn’t been a 1st-round pick from 
@KU_Football
, 
@KStateFB
 or 
@MizzouFootball
 in the last 5 NFL Drafts, but a total of 35 Jayhawks, Wildcats and Tigers have been 1st-round picks in the past.

Who went highest? Which school has the most 1st-rounders?:" 7h
"Former five-star guard Arterio Morris scheduled an official visit with Kansas tomorrow. Could him and Dajuan Harris form one of the best defensive tandems in college basketball? #KUbball

(via 
@Josh_Schulman04
)" "Apr 17"
"It was a disappointing weekend for 
@KUBaseball
, as they dropped all three games in the Sunflower Showdown." "Apr 17"
"Making the turn in Round 3 at Prairie Dunes. 

 | https://bit.ly/40yYaIK

#RockChalk" 10h
"To celebrate service and #NationalVolunteerMonth, the University of Kansas Athletics held a clothing #donation drive for 
@Ballard_KS
! #thankyou to all the #Jayhawks, KU Athletes and Athletic Staff who made the drive a success! #RockChalk

Learn more at http://BALLARDCENTER.ORG" "Apr 18"
"Check out this listing I just added to my #Poshmark closet: JayHawks - Baseball Hat - #9. https://poshmark.com/listing/5dcdc65cfe19c7bedf1a2623?utm_source=tw_sh&utm_content=ext_trk%3Dbranch%26feature%3Dsh_li_el_ios%26rfuid%3Dext1%3Af80a4c7d-00b3-4c4d-ac0c-18492e49937f… #shopmycloset 
@poshmarkapp" "Apr 22"
"Gradey Dick will be one of the most coveted guards in this year’s NBA Draft. These five teams are the best fit for him. #KUbball

(via 
@Josh_Schulman04
)" "Apr 18"
"Kansas sends an offer to Denton Ryan for '25 OL Ty Haywood (
@TyHaywood_
). #RockChalk

https://247sports.com/Player/Ty-Haywood-46138498/…
https://hudl.com/profile/16417010/Ty-Haywood…" 44s
"The Kansas Jayhawks landed their 1st transfer portal commit of the offseason today with Towson's Nick Timberlake, beating out UConn and UNC for the 3-point sharpshooter.

#KUbball news brief:" "Apr 19"
"Timberlake averaged 17.7 points while shooting 41.6% from three. 

He’s essentially #KUbball Gradey Dick replacement.

KU now has two scholarship spots available—- depending on what happens with Kyle Cuffe it could be more." "Apr 19"
"UP NEXT:

The Jayhawks will host Big 12 foe Texas Tech this weekend, April 21-23, at Arrocha Ballpark" "Apr 19"
"You’re a Jayhawks fan, but are you as big of a fan as some of the die-hard supporters in the stands? Take this quiz to find out!" "Apr 23"
"'Working really hard and watching it pay off really makes it fun for me' - Mid-Pacific’s Kodey Shojinaga making big first impression with the Kansas Jayhawks https://khon2.com/sports/mid-pacifics-kodey-shojinaga-making-big-first-impression-at-kansas/…  
@c_shimabuku
  @kodeyshoj28
 @midpac" 21h
"KU physicist appointed to help prepare next Long Range Plan on Nuclear Science | The University of Kansas - KU Today" 4h
"The Yankees are the Kansas Jayhawks of baseball.

A team that wins a lot in the regular season, but flames out when it counts.

With a fanbase who loves to hang their hats on accomplishments from teams they never even saw play 100+ years ago." "Apr 19"
"Walk-off win clinches series over Kansas Jayhawks for No. 8 Texas softball -" "Apr 16"
"'26 WR Brayden Robinson (
@braydenro_
) out of Red Oak has been offered by the Kansas Jayhawks. #RockChalk

https://247sports.com/player/brayden-robinson-46129630/…
https://hudl.com/profile/15948145/Brayden-Robinson…" "Apr 24"
"So far, there have been 292 assaults at the University of #Kansas Health System for the 2023 fiscal year. Advocates are pushing to increase penalties for attacks against #healthcare workers, but legislation remains in limbo." 6h
"Kansas Jayhawks Blue 2023 Women’s Basketball NIT Champions Shirt From: 18.99
Buy it here: http://grindsshop.com/product/kansas-jayhawks-blue-2023-womens-basketball-nit-champions-shirt/…

#KansasJayhawks #Blue #2023 #WomensBasketball #NITChampions #Shirt #Champs" "Apr 24"
"Incredible reporting and storytelling on this ESPN 30 for 30 podcast covering the college hoops FBI scandal. Includes Billy Preston repeatedly saying KU set him up with Adidas bagmen and the Jayhawks are no “victim.” Good overall listen. 
@pinepaula" "Apr 20"
"Leipold and Kansas University have agreed to a new contract that will keep the Jayhawks as the school's basketball coach through the 2021-22 season. The new deal is reportedly worth around $2 million a year" "Apr 20"
"“The Jayhawks remain the biggest concern for Maryland. They have huge NIL money, a blueblood pedigree and they can also sell him on national title hopes.”" "Apr 16"
"The Kansas University basketball team took home the Maui Invitational Championship on Friday night. This tournament was a battle against some of the best teams in the country, and the Jayhawks were able to come out on top." "Apr 23"
"Hey, Jayhawks in Kansas 

We're coming to Pittsburg, Liberal, Hays and Salina this May for Hawks & Highways with 
@KUAthletics
 + 
@UnivOfKansas
!  

Join us at a community near you #HawksandHwys " "Apr 19"
"Haskell, University of Kansas work to bring underrepresented communities into lab sciences https://kansasreflector.com/2023/04/14/haskell-ku-work-to-bring-more-underrepresented-communities-into-laboratory-sciences/… via 
@KansasReflector" "Apr 16"
"Kansas lands Towson transfer Nicolas Timberlake. 

The 6-4 wing averaged 17.7 points last season and shot 42 percent from 3. 

Gives Bill Self and the Jayhawks a much-needed veteran wing who can score from all 3 levels." "Apr 19"
"Sophomore point guard Tyler Jackson says #Kansas is a program he is interested in visiting. He discussed the Jayhawks while breaking down his game and recruitment with 
@247Sports
. 

FEATURE | https://247sports.com/college/basketball/recruiting/Article/Tyler-Jackson-Kansas-Kentucky-North-Carolina-208927920/…" 14h
"The 2023 NFL Draft kicks off a week from tonight. 

For 
@BetKansas
 I broke down which KU & Kansas State players could hear their names called:" "Apr 20"
"Team ProMark NCAA Kansas Jayhawks Chrome Automobile Emblem, 4"" x 3"" (60347) 9NMEHPM" "Apr 23"
"Recent research conducted at the University of Kansas Medical Center and published in the journal Frontiers of Nutrition highlighted the benefits milk also has on the brains of older adults. https://on.hoards.com/230413-4" "Apr 19"
"“I didn’t expect none of this,” 
@marcusadams21
 said. “I’m grateful to be a part of this winning program with one of the greatest coaches of all-time (Self), or maybe the greatest coach of college basketball.”

#KUbball" "Apr 17"
"Big 12 Quarterfinals are almost hereLivestream link 

https://bit.ly/2NmJZ5C" "Apr 21"
"These are the top three remaining transfer targets the Kansas Jayhawks have been linked to. #KUbball

(via 
@Josh_Schulman04
)" "Apr 24"
"She helped save the series against the Jayhawks  #HookEm" "Apr 18"
"http://nba.com Kansas Jayhawks Basketball Land Their First 2023 Transfer in Towson Sharpshooter Nicolas Timberlake https://youtube.com/watch?v=Chs3wJfLazU&utm_source=dlvr.it&utm_medium=twitter… http://pizzahut.com" "Apr 19"
"Kansas Jayhawks teams 2023 WNIT Women’s National Invitation Tournament Champions shirt From: 18.99
Buy it here: http://grindsshop.com/product/kansas-jayhawks-teams-2023-wnit-womens-national-invitation-tournament-champions-shirt/…

#KansasJayhawks #WNITChampions #NationalInvitationTournament #WomensBasketball #JayhawksNation #RockChalk #KU" "Apr 24"
"Georgetown’s leading scorer last season is beginning his official visit to Kansas today. #KUbball

(via 
@Josh_Schulman04
)" 12h
"It's back to #Big12Conference play for 
@KUBaseball
